,気温(℃),,,,,"気圧(明治6～昭和24:mmHg,025～55:㍊)",,,,,湿度(％),,,
,年平均,高極,測定月日,低極,測定月日,年平均,高極,測定月日,低極,測定月日,年平均,最小,測定月日,
明治6,9.9,30.6,8/8,-13.3,1/29,761.9,775.1,3/30,747.2,4/16,84.3,36.0,12/20,
7,10.4,30.6,8/8,-10.0,12/31,760.7,774.1,3/14,742.3,10/29,85.0,32.0,"1/11,1/25",
8,9.3,31.1,8/25,-14.7,"1/6,7",785.7,774.4,11/13,741.0,12/19,80.7,41.0,3/8,
9,10.2,33.6,7/29,-10.1,2/17,760.2,772.6,"12/22,23",742.6,11/8,84.9,40.0,6/15,
10,10.4,31.1,7/31,-10.1,1/15,760.1,778.1,1/24,737.7,3/27,88.6,34.0,2/14,
11,8.6,28.6,8/18,-11.7,"1/12,13,24",760.0,776.5,4/6,742.5,3/26,82.8,8.0,1/19,
12,9.1,28.9,8/7,-12.2,1/11,759.8,774.4,10/4,733.8,12/30,82.6,33.0,5/29,
13,8.8,30.3,8/8,-15.6,2/1,760.1,775.2,2/25,737.0,3/20,79.6,30.0,"2/5,11/20,28,12/4",
14,8.4,30.6,8/29,-15.0,1/12,759.6,776.4,3/8,736.8,11/21,80.8,33.0,12/15,
15,8.7,29.4,8/1,-15.8,12/20,760.2,778.9,2/4,739.5,10/2,78.8,13.0,3/8,
16,7.6,31.7,8/4,-18.1,1/15,760.4,774.1,10/27,734.6,3/16,83.9,39.0,5/24,
17,7.1,28.9,7/28,-16.7,1/11,759.9,772.7,1/3,741.4,5/18,82.2,43.0,"1/21,5/1,4",
18,8.0,28.3,8/23,-18.7,1/20,759.6,774.6,11/16,741.6,3/22,81.9,39.0,2/18,
19,9.2,30.8,8/13,-14.5,12/25,759.9,774.1,11/11,738.6,9/25,80.5,33.0,2/14,
20,8.4,31.1,8/11,-15.3,1/17,759.5,776.4,1/17,734.8,3/13,80.8,35.0,1/9,
21,8.1,30.7,8/6,-18.8,2/12,759.0,774.4,11/2,740.2,5/12,81.7,28.0,4/29,
22,7.4,29.1,8/5,-15.9,1/28,759.7,773.2,11/16,733.2,10/21,80.7,32.0,5/12,
23,9.7,28.5,"8/17,9/9",-17.2,1/20,760.4,776.4,11/9,740.0,12/14,78.5,27.0,4/26,
24,8.4,27.9,7/25,-21.7,1/29,759.6,774.7,12/7,741.0,5/25,77.6,25.0,11/16,
25,8.3,31.1,9/13,-19.4,12/14,759.5,771.7,1/3,738.6,4/2,76.9,19.0,3/28,
26,7.6,31.1,8/7,-19.4,"2/12,13",759.9,775.5,11/21,741.9,12/24,78.7,32.0,"3/19,12/27",
27,9.0,30.5,7/30,-19.9,1/20,760.5,774.6,3/14,733.2,3/29,78.3,25.0,12/30,
28,8.1,30.3,8/17,-17.2,1/21,760.0,774.1,12/5,737.4,2/24,78.2,30.0,3/23,
29,8.4,29.8,8/17,-20.4,2/19,760.1,776.2,2/23,733.4,1/10,77.8,26.0,5/15,
30,7.5,30.1,8/12,-18.8,12/24,760.8,774.9,3/25,743.9,4/23,78.1,29.0,1/31,
31,8.2,30.8,7/24,-18.9,3/5,760.2,777.9,11/29,738.6,12/14,76.0,28.0,12/22,
32,8.9,28.5,8/29,-16.7,12/12,759.9,776.0,2/27,734.4,10/7,75.3,25.0,5/9,
